variant_id,params,collision_found,result_raw
50,"{""obs_initial_speed_factor"": 1.5, ""ego_initial_speed_factor"": 1.5, ""obs_longitudinal_offset"": -30.0}",FALSE,satisfied
51,"{""obs_initial_speed_factor"": 1.5, ""ego_initial_speed_factor"": 1.5, ""obs_longitudinal_offset"": -15.0}",FALSE,satisfied
52,"{""obs_initial_speed_factor"": 1.5, ""ego_initial_speed_factor"": 1.5, ""obs_longitudinal_offset"": 0.0}",FALSE,satisfied
53,"{""obs_initial_speed_factor"": 1.5, ""ego_initial_speed_factor"": 1.5, ""obs_longitudinal_offset"": 15.0}",FALSE,satisfied
54,"{""obs_initial_speed_factor"": 1.5, ""ego_initial_speed_factor"": 1.5, ""obs_longitudinal_offset"": 30.0}",FALSE,satisfied
55,"{""obs_initial_speed_factor"": 1.5, ""ego_initial_speed_factor"": 2.0, ""obs_longitudinal_offset"": -30.0}",FALSE,satisfied
56,"{""obs_initial_speed_factor"": 1.5, ""ego_initial_speed_factor"": 2.0, ""obs_longitudinal_offset"": -15.0}",FALSE,satisfied
57,"{""obs_initial_speed_factor"": 1.5, ""ego_initial_speed_factor"": 2.0, ""obs_longitudinal_offset"": 0.0}",FALSE,satisfied
58,"{""obs_initial_speed_factor"": 1.5, ""ego_initial_speed_factor"": 2.0, ""obs_longitudinal_offset"": 15.0}",FALSE,satisfied
59,"{""obs_initial_speed_factor"": 1.5, ""ego_initial_speed_factor"": 2.0, ""obs_longitudinal_offset"": 30.0}",FALSE,satisfied
60,"{""obs_initial_speed_factor"": 2.0, ""ego_initial_speed_factor"": 0.5, ""obs_longitudinal_offset"": -30.0}",FALSE,satisfied
61,"{""obs_initial_speed_factor"": 2.0, ""ego_initial_speed_factor"": 0.5, ""obs_longitudinal_offset"": -15.0}",FALSE,satisfied
62,"{""obs_initial_speed_factor"": 2.0, ""ego_initial_speed_factor"": 0.5, ""obs_longitudinal_offset"": 0.0}",FALSE,satisfied
63,"{""obs_initial_speed_factor"": 2.0, ""ego_initial_speed_factor"": 0.5, ""obs_longitudinal_offset"": 15.0}",FALSE,satisfied
64,"{""obs_initial_speed_factor"": 2.0, ""ego_initial_speed_factor"": 0.5, ""obs_longitudinal_offset"": 30.0}",FALSE,satisfied
65,"{""obs_initial_speed_factor"": 2.0, ""ego_initial_speed_factor"": 1.0, ""obs_longitudinal_offset"": -30.0}",FALSE,satisfied
66,"{""obs_initial_speed_factor"": 2.0, ""ego_initial_speed_factor"": 1.0, ""obs_longitudinal_offset"": -15.0}",FALSE,satisfied
67,"{""obs_initial_speed_factor"": 2.0, ""ego_initial_speed_factor"": 1.0, ""obs_longitudinal_offset"": 0.0}",FALSE,satisfied
68,"{""obs_initial_speed_factor"": 2.0, ""ego_initial_speed_factor"": 1.0, ""obs_longitudinal_offset"": 15.0}",FALSE,satisfied
69,"{""obs_initial_speed_factor"": 2.0, ""ego_initial_speed_factor"": 1.0, ""obs_longitudinal_offset"": 30.0}",FALSE,satisfied
70,"{""obs_initial_speed_factor"": 2.0, ""ego_initial_speed_factor"": 1.5, ""obs_longitudinal_offset"": -30.0}",FALSE,satisfied
71,"{""obs_initial_speed_factor"": 2.0, ""ego_initial_speed_factor"": 1.5, ""obs_longitudinal_offset"": -15.0}",FALSE,satisfied
72,"{""obs_initial_speed_factor"": 2.0, ""ego_initial_speed_factor"": 1.5, ""obs_longitudinal_offset"": 0.0}",FALSE,satisfied
73,"{""obs_initial_speed_factor"": 2.0, ""ego_initial_speed_factor"": 1.5, ""obs_longitudinal_offset"": 15.0}",FALSE,satisfied
74,"{""obs_initial_speed_factor"": 2.0, ""ego_initial_speed_factor"": 1.5, ""obs_longitudinal_offset"": 30.0}",FALSE,satisfied
75,"{""obs_initial_speed_factor"": 2.0, ""ego_initial_speed_factor"": 2.0, ""obs_longitudinal_offset"": -30.0}",FALSE,satisfied
76,"{""obs_initial_speed_factor"": 2.0, ""ego_initial_speed_factor"": 2.0, ""obs_longitudinal_offset"": -15.0}",FALSE,satisfied
77,"{""obs_initial_speed_factor"": 2.0, ""ego_initial_speed_factor"": 2.0, ""obs_longitudinal_offset"": 0.0}",FALSE,satisfied
78,"{""obs_initial_speed_factor"": 2.0, ""ego_initial_speed_factor"": 2.0, ""obs_longitudinal_offset"": 15.0}",FALSE,satisfied
79,"{""obs_initial_speed_factor"": 2.0, ""ego_initial_speed_factor"": 2.0, ""obs_longitudinal_offset"": 30.0}",FALSE,satisfied
